"Step","env: QLUNARLANDER - ep_info/Power_angular","env: QLUNARLANDER - ep_info/Power_angular__MIN","env: QLUNARLANDER - ep_info/Power_angular__MAX"
"2347","-80","-80","-80"
"2348","-55.5","-58","-53"
"2349","-72","-72","-72"
"2351","-53","-53","-53"
"2355","-85","-85","-85"
"2358","-78","-78","-78"
"2359","-60","-60","-60"
"2362","-79","-79","-79"
"2365","-57","-63","-51"
"2368","-72","-72","-72"
"2373","-70","-70","-70"
"2376","-82","-93","-71"
"2377","-46","-46","-46"
"2380","-50","-50","-50"
"2384","-53","-53","-53"
"2387","-75","-75","-75"
"2393","-80","-80","-80"
"2394","-61","-61","-61"
"2396","-64","-64","-64"
"2397","-61","-61","-61"
"2399","-53","-53","-53"
"2400","-52","-52","-52"
"2407","-55","-55","-55"
"2409","-67","-67","-67"
"2411","-75","-75","-75"
"2414","-73","-73","-73"
"2415","-70","-75","-65"
"2422","-82","-82","-82"
"2424","-76","-76","-76"
"2425","-70.5","-76","-65"
"2426","-67","-67","-67"
"2428","-64.5","-79","-50"
"2430","-79","-79","-79"
"2431","-86","-86","-86"
"2433","-50","-50","-50"
"2434","-57","-57","-57"
"2441","-77","-77","-77"
"2442","-63","-63","-63"
"2446","-78","-78","-78"
"2448","-85","-85","-85"
"2452","-49","-49","-49"
"2454","-87","-87","-87"
"2459","-62","-62","-62"
"2461","-82","-82","-82"
"2463","-68","-68","-68"
"2469","-55","-55","-55"
"2470","-76","-100","-52"
"2477","-78","-78","-78"
"2479","-48.5","-49","-48"
"2480","-72","-89","-55"
"2483","-72","-74","-70"
"2484","-80","-80","-80"
"2487","-57","-57","-57"
"2490","-71","-71","-71"
"2491","-58","-58","-58"
"2492","-64","-64","-64"
"2496","-58","-58","-58"
"2502","-74","-74","-74"
"2503","-86","-86","-86"
"2506","-65","-65","-65"
"2509","-50","-50","-50"
"2510","-61","-61","-61"
"2512","-80","-80","-80"
"2516","-52","-52","-52"
"2520","-76","-76","-76"
"2522","-75","-75","-75"
"2526","-51","-51","-51"
"2534","-82","-82","-82"
"2535","-53","-53","-53"
"2537","-75","-75","-75"
"2541","-49","-49","-49"
"2544","-55","-55","-55"
"2545","-68","-73","-63"
"2549","-78","-78","-78"
"2553","-70","-73","-67"
"2559","-52","-52","-52"
