"Step","env: LUNARLANDER - ep_info/Goal","env: LUNARLANDER - ep_info/Goal__MIN","env: LUNARLANDER - ep_info/Goal__MAX"
"1775","-1","-1","-1"
"1777","-1","-1","-1"
"1780","-1","-1","-1"
"1782","-1","-1","-1"
"1783","-1","-1","-1"
"1784","-1","-1","-1"
"1785","-1","-1","-1"
"1786","-1","-1","-1"
"1788","-1","-1","-1"
"1791","-1","-1","-1"
"1792","-1","-1","-1"
"1793","-1","-1","-1"
"1794","-1","-1","-1"
"1795","-1","-1","-1"
"1797","-1","-1","-1"
"1798","-1","-1","-1"
"1801","-1","-1","-1"
"1802","-1","-1","-1"
"1804","-1","-1","-1"
"1805","-1","-1","-1"
"1806","-1","-1","-1"
"1813","-1","-1","-1"
"1814","-1","-1","-1"
"1818","-1","-1","-1"
"1820","-1","-1","-1"
"1822","-1","-1","-1"
"1823","-1","-1","-1"
"1825","-1","-1","-1"
"1826","-1","-1","-1"
"1827","-1","-1","-1"
"1828","-1","-1","-1"
"1829","-1","-1","-1"
"1830","-1","-1","-1"
"1833","-1","-1","-1"
"1834","-1","-1","-1"
"1835","-1","-1","-1"
"1840","-1","-1","-1"
"1841","-1","-1","-1"
"1842","-1","-1","-1"
"1847","-1","-1","-1"
"1849","-1","-1","-1"
"1854","-1","-1","-1"
"1858","-1","-1","-1"
"1859","-1","-1","-1"
"1861","-1","-1","-1"
"1863","-1","-1","-1"
"1864","-1","-1","-1"
"1865","-1","-1","-1"
"1866","-1","-1","-1"
"1869","-1","-1","-1"
"1872","-1","-1","-1"
"1873","-1","-1","-1"
"1874","-1","-1","-1"
"1875","-1","-1","-1"
"1878","-1","-1","-1"
"1879","-1","-1","-1"
"1880","-1","-1","-1"
"1883","-1","-1","-1"
"1886","-1","-1","-1"
"1887","-1","-1","-1"
"1888","-1","-1","-1"
"1889","-1","-1","-1"
"1890","-1","-1","-1"
"1891","-1","-1","-1"
"1894","-1","-1","-1"
"1897","-1","-1","-1"
"1899","-1","-1","-1"
"1900","-1","-1","-1"
"1902","-1","-1","-1"
"1904","-1","-1","-1"
"1906","-1","-1","-1"
"1909","-1","-1","-1"
"1910","-1","-1","-1"
"1914","-1","-1","-1"
"1915","-1","-1","-1"
"1916","-1","-1","-1"
"1917","-1","-1","-1"
"1918","-1","-1","-1"
"1919","-1","-1","-1"
"1920","-1","-1","-1"
"1921","-1","-1","-1"
"1925","-1","-1","-1"
"1928","-1","-1","-1"
"1929","-1","-1","-1"
"1933","-1","-1","-1"
"1934","-1","-1","-1"
"1935","-1","-1","-1"
"1936","-1","-1","-1"
"1937","-1","-1","-1"
"1940","-1","-1","-1"
"1941","-1","-1","-1"
"1942","-1","-1","-1"
"1943","-1","-1","-1"
"1944","-1","-1","-1"
"1945","-1","-1","-1"
"1946","-1","-1","-1"
"1947","-1","-1","-1"
"1948","-1","-1","-1"
"1950","-1","-1","-1"
"1952","-1","-1","-1"
"1956","-1","-1","-1"
"1958","-1","-1","-1"
"1963","-1","-1","-1"
"1964","-1","-1","-1"
"1965","-1","-1","-1"
"1966","-1","-1","-1"
"1968","-1","-1","-1"
