"Step","setup: Dylam - ep_info/Chicken","setup: Dylam - ep_info/Chicken__MIN","setup: Dylam - ep_info/Chicken__MAX","setup: Drq - ep_info/Chicken","setup: Drq - ep_info/Chicken__MIN","setup: Drq - ep_info/Chicken__MAX","setup: Decq - ep_info/Chicken","setup: Decq - ep_info/Chicken__MIN","setup: Decq - ep_info/Chicken__MAX","setup: Baseline - ep_info/Chicken","setup: Baseline - ep_info/Chicken__MIN","setup: Baseline - ep_info/Chicken__MAX"
"417","0","0","0","0","0","0","21","0","70","0","0","0"
"418","0","0","0","0","0","0","21","0","70","0","0","0"
"419","8.75","0","70","0","0","0","21","0","70","7","0","70"
"420","0","0","0","0","0","0","14","0","70","0","0","0"
"421","0","0","0","0","0","0","14","0","70","0","0","0"
"422","8.75","0","70","0","0","0","14","0","70","0","0","0"
"423","8.75","0","70","0","0","0","14","0","70","0","0","0"
"424","0","0","0","0","0","0","14","0","70","0","0","0"
"425","0","0","0","0","0","0","14","0","70","0","0","0"
"426","0","0","0","0","0","0","14","0","70","0","0","0"
"427","0","0","0","0","0","0","7","0","70","0","0","0"
"428","0","0","0","0","0","0","7","0","70","0","0","0"
"429","0","0","0","7","0","70","7","0","70","0","0","0"
